Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,1255.824951,1282.5,1253.550049,1279.125,1122.713623,2345054
2015-02-04,1284,1285.849976,1251.050049,1257.150024,1103.425537,2245418
2015-02-05,1260,1295.849976,1259.5,1276.199951,1120.146362,4530168
2015-02-06,1276.5,1297.400024,1275.425049,1287.875,1130.394043,2136416
2015-02-09,1280.75,1284.550049,1250,1256.449951,1102.811401,2076432
2015-02-10,1255,1263.125,1216.5,1220.574951,1071.322998,3799054
2015-02-11,1227.525024,1243.625,1223.625,1229.949951,1079.551514,2937522
2015-02-12,1239.900024,1239.900024,1223.5,1231.074951,1080.539185,3107980
2015-02-13,1235,1273.875,1230.125,1269.375,1114.156128,4158326
2015-02-16,1280,1297.5,1277.5,1292.400024,1134.365356,2364392
2015-02-18,1292.525024,1321.5,1282.625,1317.824951,1156.681396,2660014
2015-02-19,1318,1343.650024,1317.5,1340.525024,1176.605713,2618002
2015-02-20,1349.400024,1349.400024,1321.125,1337.775024,1174.191895,1801588
2015-02-23,1335.5,1361,1335.5,1348.324951,1183.451904,1614892
2015-02-24,1347,1365,1339.5,1352.375,1187.00647,2199922
2015-02-25,1355,1361,1333.925049,1336.099976,1172.722046,1767994
2015-02-26,1339.5,1346.375,1312.675049,1328.224976,1165.809814,1991994
2015-02-27,1329.724976,1337.875,1308.150024,1331.175049,1168.399048,2877376
2015-02-28,null,null,null,null,null,null
2015-03-02,1339.849976,1354.474976,1326.275024,1334.699951,1171.493042,2176038
2015-03-03,1341,1395,1338.074951,1388,1218.275513,3424308
2015-03-04,1394,1406.050049,1357.824951,1373,1205.109497,3862994
2015-03-05,1375,1385.349976,1340.525024,1348.224976,1183.364136,2173514
2015-03-09,1320,1339.900024,1305,1323.400024,1161.574707,2883174
2015-03-10,1324.449951,1339.125,1297.625,1321.349976,1159.775269,3037052
2015-03-11,1321,1329.974976,1298.900024,1303.275024,1143.911011,2240200
2015-03-12,1311.949951,1312.449951,1295.050049,1309.525024,1149.396362,1827636
2015-03-13,1319,1319.974976,1287.5,1291.175049,1133.290283,1586838
2015-03-16,1292.599976,1305,1276,1281.150024,1124.490967,1556296
2015-03-17,1291.25,1303.349976,1278.875,1291.849976,1133.882568,1267318
2015-03-18,1295.474976,1299.724976,1275.849976,1279.675049,1123.196533,1255170
2015-03-19,1288,1302.925049,1284.050049,1298.125,1139.390259,2448964
2015-03-20,1298,1309,1289.425049,1305.474976,1145.841553,1963908
2015-03-23,1308,1315.5,1303,1308.574951,1148.562744,1566608
2015-03-24,1315,1318.5,1291.050049,1295.650024,1137.218018,2394878
2015-03-25,1295.699951,1307,1272.599976,1286.875,1129.515991,2224858
2015-03-26,1276.650024,1293.349976,1250.5,1256.550049,1102.898926,3091642
2015-03-27,1265.5,1285.949951,1252.050049,1257.400024,1103.645142,2751776
2015-03-30,1262.5,1284.949951,1260,1282.074951,1125.302856,1339006
2015-03-31,1284.724976,1284.724976,1260.5,1276.974976,1120.826904,2427028
2015-04-01,1279,1281.800049,1261.125,1271.324951,1115.867432,2075758
2015-04-06,1279,1281.449951,1250.050049,1273.650024,1117.908203,1568542
2015-04-07,1281.224976,1299.5,1272,1292.5,1134.452881,1886922
2015-04-08,1297,1328.25,1295.425049,1320.699951,1159.204712,1652134
2015-04-09,1329.5,1343.724976,1317.574951,1332.275024,1169.364502,2544450
2015-04-10,1324.25,1335.400024,1314,1326.875,1164.625,1815544
2015-04-13,1332,1332.5,1314,1327.75,1165.3927,1308642
2015-04-15,1327.349976,1356.949951,1304.699951,1313.875,1153.214233,2913934
2015-04-16,1313.474976,1313.5,1285.675049,1291.400024,1133.488037,3217570
2015-04-17,1278.550049,1280,1235,1237.425049,1086.113037,9668742
2015-04-20,1240.025024,1241.949951,1212.425049,1214.400024,1065.903198,2890722
2015-04-21,1214.400024,1226,1200.5,1213.525024,1065.135254,2546032
